"CÓDIGO";"DESIGNAÇÃO";"PVP"
"1000919";"Máscara reanimaçao filtro";"2.5"
"1001818";"WAL WATER  CANECA FILTRO AGUA";"13.15"
"1001966";"WAL  FILTRO";"6.66"
